freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
9917.924,6.0195,3.6583,nan,nan,nan,nan
10009.878,6.0195,3.6298,nan,nan,nan,nan
10102.685,6.0196,3.6007,nan,nan,nan,nan
10196.352,6.0196,3.5710,nan,nan,nan,nan
10290.888,6.0197,3.5407,nan,nan,nan,nan
10386.300,6.0197,3.5099,nan,nan,nan,nan
10482.597,6.0197,3.4785,nan,nan,nan,nan
10579.786,6.0198,3.4640,nan,nan,nan,nan
10677.877,6.0198,3.4600,nan,nan,nan,nan
10776.877,6.0198,3.4550,nan,nan,nan,nan
10876.795,6.0198,3.4491,nan,nan,nan,nan
10977.639,6.0199,3.4423,nan,nan,nan,nan
11079.419,6.0199,3.4345,nan,nan,nan,nan
11182.142,6.0199,3.4258,nan,nan,nan,nan
11285.817,6.0199,3.4162,nan,nan,nan,nan
11390.454,6.0200,3.4056,nan,nan,nan,nan
11496.060,6.0200,3.3942,nan,nan,nan,nan
11602.646,6.0200,3.3818,nan,nan,nan,nan
11710.220,6.0200,3.3686,nan,nan,nan,nan
11818.792,6.0201,3.3545,nan,nan,nan,nan
11928.370,6.0201,3.3395,nan,nan,nan,nan
12038.964,6.0201,3.3237,nan,nan,nan,nan
12150.583,6.0201,3.3070,nan,nan,nan,nan
12263.238,6.0201,3.2896,nan,nan,nan,nan
12376.936,6.0201,3.2714,nan,nan,nan,nan
