freq_Hz,anechoic_dB,inroom_dB,level_corr_dB,post_dsp_dB,room_gain_dB,room_hf_abs_dB,room_tf_dB,harman_target_dB,dsp_correction_dB,dsp_correction_smoothed_dB,woofer_dB,mid_dB,tweeter_dB
64.90,-4.2595,4.7405,4.7405,2.4697,9.0000,-0.0000,9.0000,2.4627,-2.2778,-2.2708,-4.3271,-46.4697,-157.3932
65.13,-4.2504,4.7496,4.7496,2.4676,9.0000,-0.0000,9.0000,2.4576,-2.2920,-2.2820,-4.3188,-46.3696,-157.2715
65.36,-4.2414,4.7586,4.7586,2.4664,9.0000,-0.0000,9.0000,2.4525,-2.3061,-2.2921,-4.3105,-46.2697,-157.1498
65.58,-4.2325,4.7675,4.7675,2.4662,9.0000,-0.0000,9.0000,2.4473,-2.3202,-2.3013,-4.3023,-46.1698,-157.0281
65.82,-4.2236,4.7764,4.7764,2.4668,9.0000,-0.0000,9.0000,2.4422,-2.3342,-2.3095,-4.2941,-46.0699,-156.9063
66.05,-4.2148,4.7852,4.7852,2.4684,9.0000,-0.0000,9.0000,2.4370,-2.3482,-2.3168,-4.2861,-45.9702,-156.7846
66.28,-4.2061,4.7939,4.7939,2.4708,9.0000,-0.0000,9.0000,2.4318,-2.3621,-2.3231,-4.2781,-45.8705,-156.6629
66.51,-4.1974,4.8026,4.8026,2.4742,9.0000,-0.0000,9.0000,2.4266,-2.3760,-2.3284,-4.2702,-45.7709,-156.5412
66.74,-4.1888,4.8112,4.8112,2.4785,9.0000,-0.0000,9.0000,2.4214,-2.3898,-2.3327,-4.2623,-45.6714,-156.4195
66.98,-4.1802,4.8198,4.8198,2.4836,9.0000,-0.0000,9.0000,2.4161,-2.4036,-2.3361,-4.2546,-45.5719,-156.2978
67.21,-4.1717,4.8283,4.8283,2.4897,9.0000,-0.0000,9.0000,2.4109,-2.4174,-2.3386,-4.2468,-45.4725,-156.1760
67.45,-4.1632,4.8368,4.8368,2.4968,9.0000,-0.0000,9.0000,2.4056,-2.4312,-2.3400,-4.2392,-45.3586,-156.0543
67.69,-4.1546,4.8454,4.8454,2.5048,9.0000,-0.0000,9.0000,2.4003,-2.4451,-2.3406,-4.2316,-45.2402,-155.9326
67.92,-4.1461,4.8539,4.8539,2.5137,9.0000,-0.0000,9.0000,2.3950,-2.4589,-2.3402,-4.2241,-45.1217,-155.8109
68.16,-4.1376,4.8471,4.8471,2.5082,8.9847,-0.0000,8.9847,2.3897,-2.4574,-2.3389,-4.2166,-45.0033,-155.6892
68.40,-4.1292,4.8252,4.8252,2.4886,8.9544,-0.0000,8.9544,2.3844,-2.4408,-2.3366,-4.2092,-44.8849,-155.5675
68.64,-4.1208,4.8032,4.8032,2.4698,8.9241,-0.0000,8.9241,2.3791,-2.4242,-2.3335,-4.2018,-44.7664,-155.4458
68.88,-4.1125,4.7813,4.7813,2.4519,8.8937,-0.0000,8.8937,2.3737,-2.4075,-2.3294,-4.1945,-44.6480,-155.3240
69.12,-4.1042,4.7592,4.7592,2.4349,8.8634,-0.0000,8.8634,2.3684,-2.3909,-2.3244,-4.1873,-44.5296,-155.2023
69.37,-4.0959,4.7372,4.7372,2.4187,8.8331,-0.0000,8.8331,2.3630,-2.3742,-2.3184,-4.1801,-44.4112,-155.0806
69.61,-4.0877,4.7151,4.7151,2.4034,8.8028,-0.0000,8.8028,2.3576,-2.3574,-2.3116,-4.1730,-44.2928,-154.9589
69.85,-4.0795,4.6929,4.6929,2.3891,8.7724,-0.0000,8.7724,2.3522,-2.3407,-2.3039,-4.1659,-44.1744,-154.8372
70.10,-4.0714,4.6707,4.6707,2.3755,8.7421,-0.0000,8.7421,2.3468,-2.3239,-2.2952,-4.1588,-44.0560,-154.7155
70.34,-4.0633,4.6485,4.6485,2.3629,8.7118,-0.0000,8.7118,2.3414,-2.3071,-2.2856,-4.1518,-43.9376,-154.5938
70.59,-4.0552,4.6263,4.6263,2.3511,8.6815,-0.0000,8.6815,2.3359,-2.2903,-2.2752,-4.1449,-43.8192,-154.4720
70.84,-4.0471,4.6040,4.6040,2.3402,8.6511,-0.0000,8.6511,2.3305,-2.2735,-2.2638,-4.1380,-43.7008,-154.3503
71.09,-4.0391,4.5817,4.5817,2.3302,8.6208,-0.0000,8.6208,2.3250,-2.2567,-2.2515,-4.1311,-43.5825,-154.2286
71.34,-4.0309,4.5596,4.5596,2.3212,8.5905,-0.0000,8.5905,2.3196,-2.2400,-2.2384,-4.1243,-43.4481,-154.1069
71.59,-4.0223,4.5379,4.5379,2.3136,8.5602,-0.0000,8.5602,2.3141,-2.2238,-2.2243,-4.1175,-43.2703,-153.9852
71.84,-4.0137,4.5162,4.5162,2.3068,8.5298,-0.0000,8.5298,2.3086,-2.2076,-2.2093,-4.1108,-43.0923,-153.8635
72.09,-4.0051,4.4945,4.4945,2.3010,8.4995,-0.0000,8.4995,2.3031,-2.1914,-2.1934,-4.1041,-42.9142,-153.7418
72.34,-3.9964,4.4727,4.4727,2.2956,8.4692,-0.0000,8.4692,2.2975,-2.1752,-2.1771,-4.0975,-42.7358,-153.6200
72.60,-3.9878,4.4510,4.4510,2.2902,8.4389,-0.0000,8.4389,2.2920,-2.1590,-2.1608,-4.0908,-42.5572,-153.4983
72.85,-3.9792,4.4294,4.4294,2.2848,8.4085,-0.0000,8.4085,2.2865,-2.1429,-2.1446,-4.0843,-42.3784,-153.3766
73.11,-3.9705,4.4077,4.4077,2.2793,8.3782,-0.0000,8.3782,2.2809,-2.1268,-2.1283,-4.0777,-42.1995,-153.2549
73.37,-3.9619,4.3860,4.3860,2.2739,8.3479,-0.0000,8.3479,2.2753,-2.1107,-2.1121,-4.0712,-42.0203,-153.1332
73.62,-3.9532,4.3643,4.3643,2.2684,8.3176,-0.0000,8.3176,2.2697,-2.0946,-2.0959,-4.0647,-41.8409,-153.0115
73.88,-3.9446,4.3427,4.3427,2.2629,8.2872,-0.0000,8.2872,2.2641,-2.0785,-2.0798,-4.0583,-41.6613,-152.8898
74.14,-3.9359,4.3211,4.3211,2.2574,8.2569,-0.0000,8.2569,2.2585,-2.0625,-2.0636,-4.0519,-41.4814,-152.7680
74.40,-3.9271,4.2994,4.2994,2.2519,8.2266,-0.0000,8.2266,2.2529,-2.0465,-2.0476,-4.0455,-41.3014,-152.6463
74.66,-3.9184,4.2779,4.2779,2.2463,8.1963,-0.0000,8.1963,2.2473,-2.0306,-2.0315,-4.0391,-41.1212,-152.5246
74.92,-3.9097,4.2563,4.2563,2.2408,8.1659,-0.0000,8.1659,2.2416,-2.0146,-2.0155,-4.0328,-40.9407,-152.4029
75.19,-3.9009,4.2347,4.2347,2.2352,8.1356,-0.0000,8.1356,2.2360,-1.9988,-1.9995,-4.0265,-40.7601,-152.2812
75.45,-3.8921,4.2132,4.2132,2.2296,8.1053,-0.0000,8.1053,2.2303,-1.9829,-1.9836,-4.0202,-40.5792,-152.1595
75.72,-3.8834,4.1916,4.1916,2.2238,8.0750,-0.0000,8.0750,2.2247,-1.9669,-1.9677,-4.0140,-40.4097,-152.0378
75.98,-3.8748,4.1699,4.1699,2.2180,8.0446,-0.0000,8.0446,2.2190,-1.9509,-1.9519,-4.0077,-40.2433,-151.9160
76.25,-3.8661,4.1482,4.1482,2.2122,8.0143,-0.0000,8.0143,2.2133,-1.9349,-1.9360,-4.0015,-40.0769,-151.7943
76.52,-3.8574,4.1266,4.1266,2.2064,7.9840,-0.0000,7.9840,2.2076,-1.9190,-1.9202,-3.9953,-39.9102,-151.6726
76.78,-3.8487,4.1050,4.1050,2.2006,7.9537,-0.0000,7.9537,2.2018,-1.9031,-1.9044,-3.9892,-39.7434,-151.5509
77.05,-3.8400,4.0834,4.0834,2.1948,7.9233,-0.0000,7.9233,2.1961,-1.8873,-1.8886,-3.9830,-39.5764,-151.4292
77.32,-3.8312,4.0618,4.0618,2.1890,7.8930,-0.0000,7.8930,2.1904,-1.8714,-1.8728,-3.9769,-39.4093,-151.3075
77.60,-3.8224,4.0403,4.0403,2.1832,7.8627,-0.0000,7.8627,2.1846,-1.8557,-1.8571,-3.9708,-39.2420,-151.1858
77.87,-3.8136,4.0188,4.0188,2.1775,7.8324,-0.0000,7.8324,2.1789,-1.8399,-1.8413,-3.9647,-39.0745,-151.0640
78.14,-3.8047,3.9974,3.9974,2.1717,7.8020,-0.0000,7.8020,2.1731,-1.8243,-1.8256,-3.9587,-38.9068,-150.9423
78.41,-3.7958,3.9760,3.9760,2.1660,7.7717,-0.0000,7.7717,2.1673,-1.8086,-1.8100,-3.9526,-38.7390,-150.8206
78.69,-3.7868,3.9546,3.9546,2.1602,7.7414,-0.0000,7.7414,2.1615,-1.7930,-1.7943,-3.9466,-38.5711,-150.6989
78.97,-3.7778,3.9333,3.9333,2.1545,7.7111,-0.0000,7.7111,2.1557,-1.7775,-1.7787,-3.9406,-38.4029,-150.5772
79.24,-3.7688,3.9120,3.9120,2.1488,7.6807,-0.0000,7.6807,2.1499,-1.7620,-1.7631,-3.9346,-38.2346,-150.4555
79.52,-3.7597,3.8907,3.8907,2.1431,7.6504,-0.0000,7.6504,2.1441,-1.7466,-1.7476,-3.9286,-38.0661,-150.3338
79.80,-3.7505,3.8695,3.8695,2.1375,7.6201,-0.0000,7.6201,2.1383,-1.7312,-1.7321,-3.9226,-37.8975,-150.2121
80.08,-3.7415,3.8483,3.8483,2.1317,7.5898,-0.0000,7.5898,2.1325,-1.7158,-1.7166,-3.9167,-37.7345,-150.0903
80.36,-3.7327,3.8268,3.8268,2.1257,7.5594,-0.0000,7.5594,2.1266,-1.7002,-1.7011,-3.9107,-37.5857,-149.9686
80.64,-3.7238,3.8053,3.8053,2.1197,7.5291,-0.0000,7.5291,2.1208,-1.6845,-1.6857,-3.9048,-37.4368,-149.8469
80.93,-3.7149,3.7839,3.7839,2.1137,7.4988,-0.0000,7.4988,2.1149,-1.6690,-1.6702,-3.8989,-37.2878,-149.7252
81.21,-3.7059,3.7625,3.7625,2.1077,7.4685,-0.0000,7.4685,2.1090,-1.6535,-1.6549,-3.8930,-37.1387,-149.6035
81.50,-3.6970,3.7412,3.7412,2.1017,7.4381,-0.0000,7.4381,2.1032,-1.6380,-1.6395,-3.8870,-36.9895,-149.4818
81.78,-3.6879,3.7199,3.7199,2.0957,7.4078,-0.0000,7.4078,2.0973,-1.6226,-1.6242,-3.8811,-36.8402,-149.3601
