freq_Hz,woofer_mag_dB,woofer_phase_deg,mid_mag_dB,mid_phase_deg,tweeter_mag_dB,tweeter_phase_deg,sum_mag_dB,sum_phase_deg
31.951,-0.0179,-35.0265,-53.7465,140.8303,-127.3941,175.8568,-0.0357,-35.0180
32.143,-0.0183,-35.2433,-53.5384,140.5885,-127.1856,175.8319,-0.0366,-35.2346
32.337,-0.0187,-35.4616,-53.3304,140.3452,-126.9771,175.8068,-0.0375,-35.4525
32.531,-0.0192,-35.6812,-53.1223,140.1003,-126.7686,175.7815,-0.0384,-35.6719
32.727,-0.0197,-35.9023,-52.9143,139.8538,-126.5601,175.7561,-0.0393,-35.8927
32.924,-0.0201,-36.1248,-52.7062,139.6058,-126.3516,175.7305,-0.0403,-36.1149
33.122,-0.0206,-36.3487,-52.4982,139.3561,-126.1431,175.7048,-0.0412,-36.3385
33.322,-0.0211,-36.5742,-52.2902,139.1048,-125.9346,175.6790,-0.0422,-36.5636
33.522,-0.0216,-36.8011,-52.0822,138.8519,-125.7261,175.6529,-0.0433,-36.7902
33.724,-0.0222,-37.0294,-51.8743,138.5973,-125.5176,175.6268,-0.0443,-37.0183
33.927,-0.0227,-37.2593,-51.6663,138.3411,-125.3091,175.6004,-0.0454,-37.2478
34.131,-0.0233,-37.4907,-51.4583,138.0833,-125.1006,175.5739,-0.0465,-37.4788
34.337,-0.0238,-37.7236,-51.2504,137.8237,-124.8921,175.5473,-0.0476,-37.7113
34.543,-0.0244,-37.9580,-51.0425,137.5625,-124.6836,175.5205,-0.0488,-37.9454
34.751,-0.0250,-38.1939,-50.8346,137.2996,-124.4751,175.4935,-0.0500,-38.1809
34.961,-0.0256,-38.4314,-50.6267,137.0349,-124.2666,175.4663,-0.0512,-38.4180
35.171,-0.0262,-38.6705,-50.4188,136.7686,-124.0581,175.4390,-0.0524,-38.6567
35.383,-0.0268,-38.9111,-50.2109,136.5005,-123.8496,175.4116,-0.0537,-38.8969
35.596,-0.0275,-39.1533,-50.0031,136.2306,-123.6411,175.3839,-0.0550,-39.1387
35.810,-0.0282,-39.3972,-49.7952,135.9590,-123.4326,175.3561,-0.0563,-39.3821
36.025,-0.0289,-39.6426,-49.5874,135.6856,-123.2241,175.3282,-0.0577,-39.6270
36.242,-0.0296,-39.8896,-49.3796,135.4104,-123.0156,175.3000,-0.0591,-39.8736
36.460,-0.0303,-40.1383,-49.1718,135.1334,-122.8071,175.2717,-0.0605,-40.1218
36.680,-0.0310,-40.3886,-48.9641,134.8547,-122.5986,175.2433,-0.0620,-40.3716
36.901,-0.0318,-40.6406,-48.7563,134.5740,-122.3901,175.2146,-0.0635,-40.6230
37.123,-0.0325,-40.8942,-48.5486,134.2916,-122.1816,175.1858,-0.0651,-40.8761
37.346,-0.0333,-41.1495,-48.3409,134.0073,-121.9731,175.1568,-0.0666,-41.1309
37.571,-0.0341,-41.4065,-48.1332,133.7211,-121.7645,175.1276,-0.0683,-41.3873
37.797,-0.0349,-41.6652,-47.9255,133.4330,-121.5560,175.0983,-0.0699,-41.6455
38.025,-0.0358,-41.9257,-47.7178,133.1431,-121.3475,175.0687,-0.0716,-41.9053
38.254,-0.0367,-42.1878,-47.5102,132.8512,-121.1390,175.0390,-0.0733,-42.1668
38.484,-0.0376,-42.4518,-47.3026,132.5574,-120.9305,175.0092,-0.0751,-42.4301
38.715,-0.0385,-42.7174,-47.0950,132.2617,-120.7220,174.9791,-0.0770,-42.6951
38.949,-0.0394,-42.9849,-46.8874,131.9640,-120.5135,174.9489,-0.0788,-42.9619
39.183,-0.0403,-43.2541,-46.6799,131.6643,-120.3050,174.9184,-0.0807,-43.2304
39.419,-0.0413,-43.5251,-46.4724,131.3627,-120.0965,174.8878,-0.0827,-43.5007
39.656,-0.0423,-43.7980,-46.2649,131.0591,-119.8880,174.8570,-0.0847,-43.7728
39.895,-0.0434,-44.0726,-46.0574,130.7534,-119.6795,174.8261,-0.0868,-44.0467
40.135,-0.0444,-44.3491,-45.8499,130.4458,-119.4710,174.7949,-0.0889,-44.3224
40.377,-0.0455,-44.6275,-45.6425,130.1361,-119.2625,174.7635,-0.0910,-44.5999
40.620,-0.0466,-44.9077,-45.4351,129.8243,-119.0540,174.7320,-0.0932,-44.8793
40.864,-0.0477,-45.1898,-45.2277,129.5105,-118.8455,174.7003,-0.0955,-45.1605
41.110,-0.0489,-45.4738,-45.0204,129.1945,-118.6370,174.6684,-0.0978,-45.4436
41.357,-0.0501,-45.7597,-44.8131,128.8765,-118.4285,174.6362,-0.1002,-45.7286
41.606,-0.0513,-46.0475,-44.6058,128.5564,-118.2200,174.6039,-0.1026,-46.0155
41.857,-0.0525,-46.3373,-44.3985,128.2341,-118.0115,174.5714,-0.1051,-46.3043
42.109,-0.0538,-46.6291,-44.1913,127.9097,-117.8030,174.5387,-0.1076,-46.5950
42.362,-0.0551,-46.9228,-43.9841,127.5831,-117.5945,174.5058,-0.1103,-46.8877
42.617,-0.0564,-47.2184,-43.7769,127.2543,-117.3860,174.4727,-0.1129,-47.1823
42.874,-0.0578,-47.5161,-43.5698,126.9233,-117.1775,174.4394,-0.1157,-47.4789
43.132,-0.0592,-47.8158,-43.3627,126.5901,-116.9690,174.4059,-0.1185,-47.7774
43.391,-0.0606,-48.1176,-43.1556,126.2547,-116.7605,174.3722,-0.1214,-48.0780
43.653,-0.0621,-48.4213,-42.9486,125.9170,-116.5520,174.3383,-0.1243,-48.3806
43.915,-0.0636,-48.7272,-42.7416,125.5770,-116.3435,174.3042,-0.1273,-48.6852
44.180,-0.0651,-49.0351,-42.5346,125.2348,-116.1350,174.2699,-0.1304,-48.9918
44.446,-0.0667,-49.3451,-42.3277,124.8903,-115.9265,174.2354,-0.1336,-49.3005
44.713,-0.0683,-49.6572,-42.1208,124.5434,-115.7180,174.2007,-0.1368,-49.6112
44.982,-0.0700,-49.9715,-41.9139,124.1942,-115.5095,174.1657,-0.1401,-49.9241
45.253,-0.0717,-50.2879,-41.7071,123.8427,-115.3010,174.1306,-0.1435,-50.2390
