freq_Hz,woofer_dB,mid_dB,tweeter_dB,sum_dB
109.00,-3.3931,-25.2580,-117.8196,-2.7192
109.38,-3.3870,-25.0956,-117.6456,-2.7013
109.76,-3.3810,-24.9330,-117.4713,-2.6833
110.15,-3.3749,-24.7703,-117.2969,-2.6650
110.54,-3.3688,-24.6075,-117.1223,-2.6465
110.92,-3.3628,-24.4446,-116.9475,-2.6279
111.31,-3.3567,-24.2815,-116.7725,-2.6090
111.70,-3.3507,-24.1183,-116.5973,-2.5899
112.10,-3.3447,-23.9550,-116.4220,-2.5705
112.49,-3.3386,-23.7916,-116.2464,-2.5510
112.88,-3.3326,-23.6280,-116.0707,-2.5312
113.28,-3.3266,-23.4713,-115.8948,-2.5118
113.68,-3.3206,-23.3273,-115.7187,-2.4934
114.08,-3.3147,-23.1833,-115.5424,-2.4748
114.48,-3.3087,-23.0392,-115.3843,-2.4560
114.88,-3.3028,-22.8951,-115.2279,-2.4370
115.28,-3.2968,-22.7509,-115.0713,-2.4179
115.69,-3.2909,-22.6066,-114.9146,-2.3986
116.09,-3.2850,-22.4624,-114.7578,-2.3791
116.50,-3.2792,-22.3180,-114.6008,-2.3594
116.91,-3.2733,-22.1737,-114.4438,-2.3395
117.32,-3.2675,-22.0293,-114.2866,-2.3195
117.73,-3.2617,-21.8848,-114.1292,-2.2992
118.14,-3.2559,-21.7403,-113.9718,-2.2788
118.56,-3.2502,-21.5957,-113.8142,-2.2582
118.97,-3.2444,-21.4512,-113.6565,-2.2374
119.39,-3.2387,-21.3065,-113.4987,-2.2163
119.81,-3.2331,-21.1619,-113.3408,-2.1951
120.23,-3.2274,-21.0181,-113.1827,-2.1738
120.65,-3.2218,-20.8745,-113.0245,-2.1523
121.08,-3.2163,-20.7308,-112.8671,-2.1307
121.50,-3.2107,-20.5871,-112.7113,-2.1088
121.93,-3.2053,-20.4434,-112.5554,-2.0867
122.36,-3.1998,-20.2996,-112.3994,-2.0644
122.78,-3.1944,-20.1558,-112.2432,-2.0419
123.22,-3.1890,-20.0120,-112.0870,-2.0192
123.65,-3.1837,-19.8682,-111.9306,-1.9963
124.08,-3.1784,-19.7243,-111.7741,-1.9732
124.52,-3.1732,-19.5804,-111.6174,-1.9499
124.95,-3.1680,-19.4365,-111.4607,-1.9264
125.39,-3.1629,-19.2926,-111.3038,-1.9027
125.83,-3.1578,-19.1487,-111.1468,-1.8787
126.27,-3.1528,-19.0048,-110.9897,-1.8546
126.72,-3.1479,-18.8609,-110.8324,-1.8302
127.16,-3.1430,-18.7196,-110.6751,-1.8060
127.61,-3.1382,-18.5826,-110.5176,-1.7822
128.06,-3.1334,-18.4456,-110.3600,-1.7582
128.51,-3.1287,-18.3087,-110.1993,-1.7340
128.96,-3.1241,-18.1718,-110.0375,-1.7096
129.41,-3.1196,-18.0349,-109.8757,-1.6851
129.86,-3.1151,-17.8980,-109.7136,-1.6603
130.32,-3.1107,-17.7612,-109.5515,-1.6354
130.78,-3.1064,-17.6244,-109.3892,-1.6102
131.24,-3.1022,-17.4876,-109.2268,-1.5849
131.70,-3.0981,-17.3509,-109.0642,-1.5594
132.16,-3.0940,-17.2142,-108.9015,-1.5337
132.62,-3.0901,-17.0776,-108.7386,-1.5078
133.09,-3.0863,-16.9410,-108.5756,-1.4817
133.55,-3.0825,-16.8045,-108.4124,-1.4554
134.02,-3.0789,-16.6680,-108.2492,-1.4289
134.49,-3.0753,-16.5316,-108.0857,-1.4023
134.97,-3.0719,-16.4066,-107.9221,-1.3774
135.44,-3.0686,-16.2828,-107.7584,-1.3526
135.91,-3.0654,-16.1592,-107.5914,-1.3277
136.39,-3.0624,-16.0357,-107.4115,-1.3027
136.87,-3.0594,-15.9123,-107.2315,-1.2775
137.35,-3.0566,-15.7890,-107.0512,-1.2523
137.83,-3.0539,-15.6659,-106.8708,-1.2269
138.32,-3.0514,-15.5429,-106.6901,-1.2013
138.80,-3.0490,-15.4200,-106.5092,-1.1757
139.29,-3.0467,-15.2973,-106.3282,-1.1499
139.78,-3.0446,-15.1747,-106.1469,-1.1241
140.27,-3.0427,-15.0523,-105.9654,-1.0981
140.76,-3.0409,-14.9300,-105.7837,-1.0720
141.25,-3.0393,-14.8079,-105.6018,-1.0458
141.75,-3.0378,-14.6859,-105.4196,-1.0195
142.25,-3.0365,-14.5641,-105.2373,-0.9931
142.75,-3.0354,-14.4425,-105.0548,-0.9666
143.25,-3.0345,-14.3210,-104.8720,-0.9400
143.75,-3.0338,-14.1998,-104.6890,-0.9133
144.26,-3.0332,-14.0787,-104.5043,-0.8865
144.76,-3.0329,-13.9578,-104.3185,-0.8596
145.27,-3.0327,-13.8371,-104.1324,-0.8326
145.78,-3.0328,-13.7166,-103.9461,-0.8056
146.29,-3.0331,-13.5963,-103.7596,-0.7784
146.80,-3.0336,-13.4763,-103.5728,-0.7512
147.32,-3.0344,-13.3564,-103.3859,-0.7240
147.84,-3.0353,-13.2368,-103.1987,-0.6966
148.36,-3.0366,-13.1174,-103.0112,-0.6692
148.88,-3.0380,-12.9983,-102.8236,-0.6418
