freq_Hz,woofer_dB,mid_dB,tweeter_raw_dB,tweeter_trimmed_dB,system_sum_raw_dB,system_sum_matched_dB
193.469,73.3925,87.0157,-11.2118,-18.2118,88.6598,88.6597
194.235,73.2922,87.0518,-10.9761,-17.9761,88.6725,88.6725
195.004,73.1914,87.0875,-10.7404,-17.7404,88.6852,88.6851
195.776,73.0902,87.1228,-10.5047,-17.5047,88.6977,88.6977
196.551,72.9886,87.1577,-10.2690,-17.2690,88.7101,88.7101
197.329,72.8865,87.1922,-10.0333,-17.0333,88.7224,88.7223
198.110,72.7841,87.2263,-9.7977,-16.7977,88.7346,88.7345
198.895,72.6812,87.2600,-9.5620,-16.5620,88.7466,88.7466
199.682,72.5780,87.2932,-9.3264,-16.3264,88.7586,88.7585
200.473,72.4743,87.3261,-9.0908,-16.0908,88.7704,88.7703
201.266,72.3703,87.3586,-8.8552,-15.8552,88.7821,88.7820
202.063,72.2658,87.3906,-8.6196,-15.6196,88.7937,88.7936
202.863,72.1610,87.4223,-8.3840,-15.3840,88.8051,88.8051
203.666,72.0557,87.4536,-8.1484,-15.1484,88.8165,88.8164
204.473,71.9501,87.4846,-7.9129,-14.9129,88.8277,88.8276
205.282,71.8441,87.5151,-7.6773,-14.6773,88.8388,88.8388
206.095,71.7377,87.5453,-7.4418,-14.4418,88.8498,88.8498
206.911,71.6309,87.5751,-7.2063,-14.2063,88.8607,88.8606
207.730,71.5238,87.6045,-6.9708,-13.9708,88.8715,88.8714
208.552,71.4163,87.6336,-6.7353,-13.7353,88.8821,88.8820
209.378,71.3084,87.6622,-6.4998,-13.4998,88.8927,88.8926
210.207,71.2001,87.6906,-6.2644,-13.2644,88.9031,88.9030
211.039,71.0915,87.7186,-6.0289,-13.0289,88.9134,88.9133
211.875,70.9826,87.7462,-5.7935,-12.7935,88.9236,88.9235
212.714,70.8733,87.7735,-5.5580,-12.5580,88.9337,88.9336
213.556,70.7636,87.8004,-5.3226,-12.3226,88.9437,88.9436
214.401,70.6536,87.8270,-5.0872,-12.0872,88.9535,88.9534
215.250,70.5433,87.8532,-4.8519,-11.8519,88.9633,88.9632
216.102,70.4326,87.8791,-4.6165,-11.6165,88.9729,88.9728
216.958,70.3215,87.9047,-4.3812,-11.3812,88.9824,88.9823
217.817,70.2102,87.9300,-4.1458,-11.1458,88.9919,88.9918
218.679,70.0985,87.9549,-3.9105,-10.9105,89.0012,89.0011
219.545,69.9865,87.9795,-3.6752,-10.6752,89.0104,89.0103
220.414,69.8741,88.0037,-3.4399,-10.4399,89.0195,89.0194
221.287,69.7615,88.0277,-3.2046,-10.2046,89.0285,89.0284
222.163,69.6485,88.0513,-2.9694,-9.9694,89.0374,89.0372
223.043,69.5352,88.0747,-2.7341,-9.7341,89.0461,89.0460
223.926,69.4216,88.0977,-2.4989,-9.4989,89.0548,89.0547
224.812,69.3077,88.1204,-2.2637,-9.2637,89.0634,89.0633
225.702,69.1935,88.1428,-2.0285,-9.0285,89.0718,89.0717
226.596,69.0790,88.1649,-1.7933,-8.7933,89.0802,89.0801
227.493,68.9642,88.1867,-1.5582,-8.5582,89.0885,89.0883
228.394,68.8491,88.2083,-1.3231,-8.3231,89.0966,89.0965
229.298,68.7337,88.2295,-1.0879,-8.0879,89.1047,89.1045
230.206,68.6180,88.2505,-0.8528,-7.8528,89.1127,89.1125
231.117,68.5020,88.2711,-0.6177,-7.6177,89.1205,89.1204
232.032,68.3858,88.2915,-0.3827,-7.3827,89.1283,89.1281
232.951,68.2693,88.3116,-0.1476,-7.1476,89.1359,89.1358
233.873,68.1525,88.3315,0.0874,-6.9126,89.1435,89.1433
